EIN,OrgID,OverallRtg,Tax_Year,Charity Name,Category,Cause,Focus,Total_Assets,Total_Liabilities,Total_Net_Assets,Wkg_Capital,Total_Contributions,ProgSvcRev,Other_Revenue,Total_Revenue,Fundraising_Expenses,Administration_Expenses,Program_Expenses,Total_Expenses,
346610067,13690,4,2015,SHRM Foundation,Education,Scholarship and Financial Support,Scholarships & Financial Aid,18423094,1502567,16920527,16153436,2294296,2755,-259310,2037741,237884,424820,2401689,3064393,FALSE
946069890,5838,4,2015,Sierra Club Foundation,Environment,Environmental Protection and Conservation,Multipurpose Environmental Programs,131703574,18474563,113229011,99539913,87863343,0,2981133,90844476,8035525,1076599,54312411,63424535,FALSE
521833599,6242,4,2015,Sightline Institute,Research and Public Policy,Social and Public Policy Research,Social & Public Policy Research,3025026,165081,2859945,2859945,1545750,24309,18986,1589045,244486,66790,1106719,1417995,FALSE
942825213,12248,4,2016,Silicon Valley Creates,"Arts, Culture, Humanities",Performing Arts,Arts Councils & Campaigns,2846345,284025,2562320,1584370,1995626,655503,8897,2660026,161506,360775,1925826,2448107,FALSE
352035269,6139,3,2015,Simon Youth Foundation,Education,Scholarship and Financial Support,Scholarships & Financial Aid,12798971,797441,12001530,11704047,3429655,0,804420,4234075,528454,594254,2400315,3523023,FALSE
840820308,12589,3,2016,Sister Carmen Community Center,Human Services,Children's and Family Services,Family Care & Development,3396889,733238,2663651,2639989,3629731,0,154530,3784261,157582,173634,3757225,4088441,FALSE
930748169,10371,3,2016,Sisters of the Road,Human Services,Social Services,Food Services,745051,40729,704322,704322,1044704,4092,9875,1058671,199936,20193,933447,1153576,FALSE
331036146,13681,2,2015,Sixth & I,Religion,Religious Activities,Jewish - National,10830448,173627,10656821,10656821,1499663,992938,231011,2723612,418983,399364,2561325,3379672,FALSE
132948778,10010,4,2015,Skin Cancer Foundation,Health,"Diseases, Disorders, and Disciplines",Cancer,8875501,731120,8144381,7750321,6346376,0,478647,6825023,485660,266327,5723576,6475563,FALSE
760471755,8255,4,2015,Small Steps Nurturing Center,Education,Early Childhood Programs and Services,Early Education & Preschool,6158237,87005,6071232,6071232,3337061,0,24522,3361583,347293,233542,2691043,3271878,FALSE
237110635,6848,3,2016,Smoky Mountain Children's Home,Human Services,Children's and Family Services,Adoption Services and Foster Care,8137837,575765,7562072,7562072,1876238,6396852,72436,8345526,156738,977316,7878478,9012532,FALSE
205627830,16111,4,2015,Snowball Express,Human Services,Social Services,"Veterans, Military, and Families",1837843,738343,1099500,1099500,2094425,0,0,2094425,44999,77180,1875011,1997190,FALSE
042678255,15572,4,2016,Sociedad Latina,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",2205514,61554,2143960,2143960,2368527,6591,2468,2377586,62915,274947,1312212,1650074,FALSE
237367199,6093,4,2015,Society for the Improvement of Conditions for Stray Animals,Animals,"Animal Rights, Welfare, and Services",Humane Societies/SPCA's,4133007,85264,4047743,4047743,1684294,330718,238957,2253969,117848,128636,1145387,1391871,FALSE
521694732,7125,3,2015,Society for Women's Health Research,Human and Civil Rights,Advocacy and Education,Advocates for Women's Rights/Research/Health,2358495,392950,1965545,1965545,2438884,4800,50112,2493796,239473,250390,1702887,2192750,FALSE
363195567,14274,3,2015,Society of St. Vincent de Paul Chicago,Human Services,Social Services,Other,5491838,937637,4554201,4554201,2961130,2042564,201031,5204725,186560,544330,4509915,5240805,FALSE
941375833,6581,4,2015,Society of St. Vincent de Paul of San Mateo County,Human Services,Social Services,Other,10510618,3476120,7034498,6902035,2240617,0,3264659,5505276,379655,445825,5908595,6734075,FALSE
930456525,4500,3,2016,"Society of St. Vincent de Paul, Portland Council",Human Services,Social Services,Other,5119238,292456,4826782,4668253,7330043,175165,479352,7984560,75413,393422,6589888,7058723,FALSE
942465081,12980,2,2016,Sojourner Center,Human Services,Social Services,Domestic Violence,13030427,3496911,9533516,9533516,5886770,44283,-870305,5060748,1178619,1560187,4596535,7335341,FALSE
237380554,6867,2,2016,Sojourners,Religion,Religious Media and Broadcasting,Print & Conventions (non-televised),6343164,5380629,962535,962535,4448779,1058330,290420,5797529,744731,593240,3664936,5002907,FALSE
680153141,8211,4,2016,Solar Cookers International,Environment,Environmental Protection and Conservation,Energy Resources,719994,39896,680098,630098,619487,29455,2759,651701,87785,52264,408738,548787,FALSE
521701564,10841,3,2016,Solar Electric Light Fund,International,Development and Relief Services,Economic and Agricultural Development,2409885,1633176,776709,776709,1055737,1973028,1331,3030096,189028,231076,2777628,3197733,FALSE
200583415,12180,4,2015,Soldiers' Angels,Human Services,Social Services,"Veterans, Military, and Families",1130049,54263,1075786,1075786,13142804,0,133813,13276617,345522,89189,12416619,12851330,FALSE
204023482,12982,4,2016,Soles4Souls,International,Humanitarian Relief Supplies,"Food, Agriculture and Miscellaneous",10441436,2608714,7832722,7832722,38416121,3516296,11811,41944228,757577,733478,44006762,45497817,FALSE
341719319,10253,4,2016,Solid Rock International,Religion,Religious Activities,Christian - International,1573849,22358,1551491,1551491,1619493,0,-1251,1618242,42026,139817,1815792,1997635,FALSE
320060209,15730,3,2015,Soliya,International,"International Peace, Security, and Affairs",International Exchange Programs,1638071,64916,1573155,1573155,1344512,113144,545,1458201,141423,139972,1360446,1641841,FALSE
330902617,17527,2,2015,Solutions for Change,Human Services,Homeless Services,Homelessness - Direct Services,15863690,16286958,-423268,-423268,1881226,1041646,-261766,2661106,559141,294877,3301121,4155139,FALSE
930579286,6415,4,2015,SOLVE,Environment,Environmental Protection and Conservation,Multipurpose Environmental Programs,2420766,293364,2127402,827535,1225349,0,-46176,1179173,152820,356882,1121809,1631511,FALSE
561683450,6512,3,2015,Solve ME/CFS Initiative,Health,"Diseases, Disorders, and Disciplines",Other Diseases,1172410,84703,1087707,1082307,1376982,0,5002,1381984,243494,243353,1156995,1643842,FALSE
237098123,6077,4,2015,SOME,Human Services,Homeless Services,Homelessness - Direct Services,86862081,15375878,71486203,71486203,24159664,6088741,1285386,31533791,1170801,501588,22771433,24443822,FALSE
680279152,17453,3,2016,Sonoma Valley Education Foundation,Education,Youth Education Programs and Services,In-School Educational Programs & Services for Elementary and Secondary Students,933559,92080,841479,841479,1465357,0,-3497,1461860,290259,136764,1613491,2040514,FALSE
860684610,6402,3,2016,Sonoran Institute,Environment,Environmental Protection and Conservation,Multipurpose Environmental Programs,2711403,814269,1897134,658214,1491897,2679224,262002,4433123,204803,412564,4225958,4843325,FALSE
650080301,11441,3,2015,SOS Children's Villages - Florida,Human Services,Children's and Family Services,Adoption Services and Foster Care,1973663,852552,1121111,1121111,3415758,72890,246532,3735180,377006,287886,3407878,4072770,FALSE
363599110,9488,3,2015,SOS Children's Villages - Illinois,Human Services,Children's and Family Services,Child Care and Development,35911588,18132170,17779418,17779418,1544228,8755062,753114,11052404,706295,1694935,8656963,11058193,FALSE
136188433,8016,3,2015,SOS Children's Villages-USA,International,Development and Relief Services,Child Sponsorship,13744692,5385952,8358740,8254509,9250234,0,568441,9818675,2025265,1118377,8163970,11307612,FALSE
870657642,13196,4,2015,SOS International/SOS Local,International,Development and Relief Services,Humanitarian Services,1849723,242646,1607077,1607077,5749171,0,-207525,5541646,170183,571612,4419826,5161621,FALSE
760025661,17298,3,2015,Source for Women,Health,Treatment and Prevention Services,"Reproductive Health Services, Anti-Abortion",1034494,48352,986142,986142,750543,0,555604,1306147,161899,163252,724630,1049781,FALSE
133943630,15639,4,2016,South Asian Youth Action,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",2093262,323554,1769708,1769708,3622895,63500,7085,3693480,286316,277134,2671506,3234956,FALSE
237061916,13920,4,2015,Southeastern Children's Home,Human Services,"Youth Development, Shelter, and Crisis Services","Homes, Shelters, & Crisis Services",4771873,419,4771454,4761454,1049974,0,128819,1178793,135584,106891,809539,1052014,FALSE
592252352,8896,4,2016,Southeastern Guide Dogs,Animals,"Animal Rights, Welfare, and Services",Training & Specialty Services,41762464,1102381,40660083,40660083,17773743,0,1261120,19034863,1062465,769994,6041804,7874263,FALSE
954765734,9859,3,2016,Southern California Public Radio,"Arts, Culture, Humanities",Public Broadcasting and Media,Television & Radio Stations,30022609,7054127,22968482,22743722,26846261,231346,-143799,26933808,6527360,2634946,17847779,27010085,FALSE
630598743,4482,3,2016,Southern Poverty Law Center,Human and Civil Rights,Advocacy and Education,"Advocates for Tolerance, Civil Rights, & Civil Liberties",353174928,24779836,328395092,324823193,50297653,1015215,6863631,58176499,9689461,5848193,30261832,45799486,FALSE
311496646,9459,4,2016,Southwest Autism Research & Resource Center,Health,"Diseases, Disorders, and Disciplines",Other Diseases,13773244,1044501,12728743,10098743,2867918,6187670,183735,9239323,919141,1722679,6726096,9367916,FALSE
860695862,14196,3,2015,Southwest Center for HIV/AIDS,Health,"Diseases, Disorders, and Disciplines",AIDS HIV,7683318,347253,7336065,7336065,2397952,232599,181131,2811682,400366,665850,2892833,3959049,FALSE
760608925,7337,3,2015,"Spay-Neuter Assistance Program, Inc.",Animals,"Animal Rights, Welfare, and Services",Animal Rights and Welfare,1765630,576041,1189589,1189589,617887,4251078,658534,5527499,393016,362760,5461464,6217240,FALSE
870773320,13139,0,2015,SPCA International,Animals,"Animal Rights, Welfare, and Services",Humane Societies/SPCA's,528111,3605049,-3076938,-3076938,13501896,0,2000000,15501896,3068081,481640,9285284,12835005,FALSE
751216660,4485,4,2015,SPCA of Texas,Animals,"Animal Rights, Welfare, and Services",No-Kill Shelters,35543530,900267,34643263,33463478,9462956,2928023,892230,13283209,1301943,1273535,10925504,13500982,FALSE
560891732,10081,4,2015,SPCA of Wake County,Animals,"Animal Rights, Welfare, and Services",Humane Societies/SPCA's,4539195,846318,3692877,3591352,2864442,297917,117663,3280022,285800,310587,2207029,2803416,FALSE
131740069,8944,4,2015,SPCA of Westchester,Animals,"Animal Rights, Welfare, and Services",No-Kill Shelters,4571108,37719,4533389,4523139,1372917,890883,403001,2666801,177939,125050,2012048,2315037,FALSE
951738153,4020,3,2016,spcaLA,Animals,"Animal Rights, Welfare, and Services",Humane Societies/SPCA's,33222510,7509837,25712673,25534091,5070394,1439656,545789,7055839,819344,1014941,5858068,7692353,FALSE
520889518,4486,3,2015,Special Olympics,Human Services,Multipurpose Human Service Organizations,Special Olympics,71759731,11405590,60354141,60155557,103974742,5681986,367849,110024577,15527398,4869829,98050103,118447330,FALSE
860307564,10781,4,2015,Special Olympics Arizona,Human Services,Multipurpose Human Service Organizations,Special Olympics,3845188,64027,3781161,3781161,5268899,0,1499,5270398,149318,152682,4326956,4628956,FALSE
840713739,8401,3,2015,Special Olympics Colorado,Human Services,Multipurpose Human Service Organizations,Special Olympics,2518814,241304,2277510,1757115,3794351,0,30254,3824605,667646,255089,2783588,3706323,FALSE
237181560,10033,4,2015,Special Olympics Florida,Human Services,Multipurpose Human Service Organizations,Special Olympics,5641373,922543,4718830,4718830,8272123,0,2837171,11109294,1102368,327138,9844074,11273580,FALSE
237201676,8774,3,2015,"Special Olympics Georgia, Inc.",Human Services,Multipurpose Human Service Organizations,Special Olympics,13265118,332657,12932461,12932461,4452107,294897,746041,5493045,560979,433644,2952691,3947314,FALSE
362922811,8116,3,2015,Special Olympics Illinois,Human Services,Multipurpose Human Service Organizations,Special Olympics,6980202,1531022,5449180,5449180,4627624,0,4137010,8764634,703020,815230,7229774,8748024,FALSE
237328374,10169,3,2015,Special Olympics Missouri,Human Services,Multipurpose Human Service Organizations,Special Olympics,3164936,358350,2806586,2806586,3390895,0,1042088,4432983,699681,185754,3541089,4426524,FALSE
561149607,7186,3,2015,Special Olympics NC,Human Services,Multipurpose Human Service Organizations,Special Olympics,5716473,315870,5400603,5400603,3999887,0,826417,4826304,744900,171676,3649694,4566270,FALSE
237448729,8831,4,2016,Special Olympics New Jersey,Human Services,Multipurpose Human Service Organizations,Special Olympics,13093760,855270,12238490,12238490,7474013,0,-5895,7468118,1077757,244111,6082516,7404384,FALSE
050377867,12676,2,2015,Special Olympics of Rhode Island,Human Services,Multipurpose Human Service Organizations,Special Olympics,3697141,25279,3671862,3650582,1643193,0,32236,1675429,378809,189006,1131671,1699486,FALSE
930752969,10123,2,2015,Special Olympics Oregon,Human Services,Multipurpose Human Service Organizations,Special Olympics,2379395,1165942,1213453,1162154,5229591,0,5492,5235083,1262042,528875,3197702,4988619,FALSE
954538450,7501,4,2015,Special Olympics Southern California,Human Services,Multipurpose Human Service Organizations,Special Olympics,7589782,643844,6945938,6945938,8397984,0,2733432,11131416,747435,354722,8923022,10025179,FALSE
237348136,8084,3,2015,Special Olympics Tennessee,Human Services,Multipurpose Human Service Organizations,Special Olympics,3471105,55105,3416000,3416000,1071546,0,791230,1862776,292432,91667,1350719,1734818,FALSE
741998367,6349,4,2015,Special Olympics Texas,Human Services,Multipurpose Human Service Organizations,Special Olympics,9216925,456074,8760851,8175271,4935956,223099,3581359,8740414,110139,1256791,7649680,9016610,FALSE
541013637,7648,4,2015,Special Olympics Virginia,Human Services,Multipurpose Human Service Organizations,Special Olympics,8519265,227432,8291833,7615833,3232487,0,1662413,4894900,576111,302833,3847729,4726673,FALSE
521183585,7584,4,2016,Special Operations Warrior Foundation,Education,Scholarship and Financial Support,Scholarships & Financial Aid,106344770,36433238,69911532,69081532,11571605,0,2504520,14076125,617261,513681,7769711,8900653,FALSE
201687786,13194,3,2015,Spirit of America,International,Development and Relief Services,Humanitarian Services,2756729,98839,2657890,2557890,2473324,0,8645,2481969,259257,257246,1843496,2359999,FALSE
562600599,17328,4,2015,Splash International,International,Development and Relief Services,Humanitarian Services,2193958,266806,1927152,1927152,3103498,0,21913,3125411,282389,504002,2506414,3292805,FALSE
910606058,10367,3,2016,Spokane County United Way,Community Development,United Ways,United Ways,2536137,533958,2002179,2002179,4388322,0,80673,4468995,521727,447204,3526430,4495361,FALSE
132578670,8609,4,2015,Sponsors for Educational Opportunity (SEO),Education,Youth Education Programs and Services,Educational Programs & Services for Postsecondary Students,29818283,703772,29114511,28304511,15625147,0,-183808,15441339,1044745,383078,10685964,12113787,FALSE
310941103,6114,3,2015,Sportsmen's Alliance Foundation,Animals,Wildlife Conservation,Hunting Enthusiasts,4040339,344889,3695450,2296722,2082548,0,72729,2155277,164269,92920,1819998,2077187,FALSE
223829041,13885,4,2016,Spread the Word Nevada,Education,Early Childhood Programs and Services,Literacy Programs,2687476,74948,2612528,2612528,2802664,0,169025,2971689,233296,158239,2326851,2718386,FALSE
521047790,9830,3,2016,Springfield Rescue Mission,Human Services,Homeless Services,Rescue Missions,1337827,401912,935915,935915,5593175,0,7920,5601095,571389,610516,4294552,5476457,FALSE
043330698,14993,4,2016,SquashBusters,Education,Youth Education Programs and Services,After-school Educational Programs & Services for Elementary and Secondary Students,16629487,165136,16464351,15827033,3300653,9588,212353,3522594,311116,314702,1528878,2154696,FALSE
201173824,12540,2,2016,St. Baldrick's Foundation,Health,Medical Research,Cancer,50522182,31813941,18708241,18708241,38285575,0,705425,38991000,9954135,1264833,27154888,38373856,FALSE
043067595,10958,4,2016,St. Boniface Haiti Foundation,International,Development and Relief Services,Humanitarian Services,13102436,1600167,11502269,11402269,14207951,141937,136589,14486477,295140,613988,9043066,9952194,FALSE
954479271,11909,3,2015,St. Francis Center,Human Services,Homeless Services,Homelessness - Direct Services,1264541,91951,1172590,1130090,3190192,0,17141,3207333,258829,149523,3084070,3492422,FALSE
222519129,8516,3,2016,St. Francis House,Human Services,Homeless Services,Rescue Missions,17830065,2226296,15603769,15459686,7777564,514555,173821,8465940,1348630,963593,6244396,8556619,FALSE
237208280,11478,4,2016,St. Petersburg Free Clinic,Health,Treatment and Prevention Services,General Health Clinics,12842021,335407,12506614,11454014,15223909,0,665216,15889125,397630,220008,10083733,10701371,FALSE
520597056,11578,3,2015,St. Vincent de Paul of Baltimore,Human Services,Social Services,Other,19864703,4010933,15853770,15853770,21530337,496554,169811,22196702,589652,100342,18196646,18886640,FALSE
941207701,5792,4,2016,St. Vincent de Paul Society of Marin County,Human Services,Social Services,Food Services,7947981,134442,7813539,7813539,3437308,93794,260623,3791725,258375,249688,2809622,3317685,FALSE
330414855,10433,4,2016,StandUp for Kids,Human Services,"Youth Development, Shelter, and Crisis Services","Homes, Shelters, & Crisis Services",1194955,1011,1193944,1193944,1300088,4529,0,1304617,116807,92496,904115,1113418,FALSE
010566033,11085,4,2015,StandWithUs,International,"International Peace, Security, and Affairs",International Relations,7508025,632405,6875620,6875620,9591162,414861,1021813,11027836,481845,712008,9426250,10620103,FALSE
953802159,5930,4,2015,Starlight Children's Foundation,Health,Patient and Family Support,Wish Programs,6205294,580151,5625143,5625143,6486187,252910,8729,6747826,392829,534785,5507459,6435073,FALSE
222403203,12650,4,2016,State University College at Oneonta Foundation Corporation,Education,Scholarship and Financial Support,Education & School Foundations,49113892,276833,48837059,14632524,2616938,0,675282,3292220,95880,201739,3297081,3594700,FALSE
510188692,15346,3,2016,STEP,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",1467243,29459,1437784,1437784,1879717,0,427,1880144,62166,197433,1584693,1844292,FALSE
954701468,17214,4,2015,Step Up,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",2542045,185051,2356994,2356994,1779132,0,618564,2397696,54712,268296,1715497,2038505,FALSE
593649371,11436,4,2016,Step Up For Students,Education,Scholarship and Financial Support,Scholarships & Financial Aid,543244522,28340712,514903810,514903810,521372137,136114,-1426,521506825,1783303,3282889,440581588,445647780,FALSE
043103694,11147,4,2016,Straight Ahead Ministries,Human Services,"Youth Development, Shelter, and Crisis Services","Homes, Shelters, & Crisis Services",2141774,107009,2034765,2034765,2135851,105327,25549,2266727,232562,512991,1682907,2428460,FALSE
521233092,8973,3,2016,Strathmore,"Arts, Culture, Humanities",Performing Arts,Presenting Organizations/Arts Centers,15579066,2727235,12851831,8575528,4099305,6249195,829830,11178330,623118,1562514,8182166,10367798,FALSE
730942963,14556,4,2016,Street School,Education,Youth Education Programs and Services,Nontraditional Educational Institutions,1628111,1986,1626125,1424980,2030115,0,-90732,1939383,107899,255423,1684835,2048157,FALSE
943080305,8764,3,2015,Stronger Families,Human Services,Children's and Family Services,Family Care & Development,475278,134576,340702,340702,1600735,21145,-50467,1571413,95838,31106,1387247,1514191,FALSE
910880684,8032,3,2016,Student Conservation Association ,Environment,Environmental Protection and Conservation,Natural Resource Conservation,22767316,11373893,11393423,6982347,8280914,29644787,141042,38066743,2953938,2742442,31888563,37584943,FALSE
133392965,4983,4,2015,Student Sponsor Partners,Education,Scholarship and Financial Support,Scholarships & Financial Aid,12115080,1479353,10635727,10291941,7374255,10680,-95262,7289673,392983,421138,6019992,6834113,FALSE
521576352,16015,2,2015,Students for Life of America,Human and Civil Rights,Advocacy and Education,Advocates Against Abortion & Reproductive Rights,924778,221781,702997,702997,4070573,0,133,4070706,375806,261412,3145500,3782718,FALSE
810615887,17306,4,2016,Students Rising Above,Education,Youth Education Programs and Services,Educational Programs & Services for Postsecondary Students,6510279,59992,6450287,6450287,3808811,0,35576,3844387,694487,404416,2871137,3970040,FALSE
954430502,9813,4,2016,Students Run LA,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",1504969,72800,1432169,1432169,2155751,15315,15417,2186483,65762,53694,1941316,2060772,FALSE
202772242,12681,1,2016,Summer Camp Opportunities Promote Education (SCOPE),Education,Scholarship and Financial Support,Scholarships & Financial Aid,847668,405135,442533,442533,941563,0,126018,1067581,296974,89569,502375,888918,FALSE
680200138,12669,3,2016,Summer Search,Education,Youth Education Programs and Services,After-school Educational Programs & Services for Elementary and Secondary Students,13470491,1081056,12389435,12201732,19069977,0,356226,19426203,4016666,2346617,12309166,18672449,FALSE
480918698,14872,3,2015,Sunflower House,Human Services,Children's and Family Services,Advocacy,2556084,68286,2487798,2374417,1127792,23886,8414,1160092,187592,128718,919238,1235548,FALSE
941713897,10616,4,2016,Sunnyvale Community Services,Human Services,Homeless Services,Homelessness - Direct Services,6511020,769584,5741436,5741436,7960754,49372,59918,8070044,303543,410152,6231900,6945595,FALSE
232044056,9193,3,2016,Sunshine Foundation,Health,Patient and Family Support,Wish Programs,1524511,77659,1446852,1098297,1030373,0,215165,1245538,154246,96455,1062070,1312771,FALSE
521485481,7848,2,2016,Support Our Aging Religious,Religion,Religious Activities,Christian - National,1029504,6039,1023465,956465,2104041,0,-1788,2102253,142480,75856,2106113,2324449,FALSE
203051279,13052,4,2016,Support The Enlisted Project (STEP),Human Services,Social Services,"Veterans, Military, and Families",401902,60526,341376,341376,1401449,0,22912,1424361,85258,112337,1089565,1287160,FALSE
751835298,4509,3,2016,Susan G. Komen for the Cure,Health,"Diseases, Disorders, and Disciplines",Breast Cancer,347909637,149467052,198442585,198117585,192956670,428872,17460966,210846508,21944341,21039865,156053196,199037402,FALSE
223248256,10910,2,2015,Swim Across America,Health,Medical Research,Cancer,1561462,686941,874521,786178,6378768,0,1407,6380175,1122580,974669,4650311,6747560,FALSE
223646125,12090,4,2015,Table to Table,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",4981464,36968,4944496,2542643,21029087,0,207912,21236999,297006,141809,20658797,21097612,FALSE
541858176,11993,3,2015,Tahirih Justice Center,Human and Civil Rights,Advocacy and Education,Legal Services,4748002,494787,4253215,4253215,4501142,2200,-200874,4302468,522725,1216689,2716162,4455576,FALSE
593331584,7236,4,2015,Take Stock in Children,Education,Scholarship and Financial Support,Scholarships & Financial Aid,8729476,1634190,7095286,6095286,8266855,0,287509,8554364,99288,973227,8048993,9121508,FALSE
591742909,6310,4,2015,Tampa Metropolitan Area YMCA,Human Services,Multipurpose Human Service Organizations,"Y M C A's, Y W C A's & JCC's",59679363,19458783,40220580,40004127,9740819,26503437,1449169,37693425,480766,3979962,29787801,34248529,FALSE
912162645,11217,3,2015,Taproot Foundation,Human and Civil Rights,Advocacy and Education,"Advocates for Tolerance, Civil Rights, & Civil Liberties",2927318,796636,2130682,2130682,3634499,1760937,5596,5401032,818702,214499,4768187,5801388,FALSE
311548849,7725,3,2015,Target Hunger,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",862428,259751,602677,602677,7155525,0,14751,7170276,162927,227429,6862553,7252909,FALSE
546026841,11679,3,2016,Taubman Museum of Art,"Arts, Culture, Humanities",Museums,Art,54015403,151609,53863794,47883463,5649267,312821,182704,6144792,872019,428228,3052707,4352954,FALSE
521703065,11291,3,2015,Tax Foundation,Research and Public Policy,Social and Public Policy Research,Social & Public Policy Research,3306998,1212556,2094442,2094442,3577743,0,-20062,3557681,642517,259071,2820683,3722271,FALSE
133541913,4992,4,2016,Teach For America,Education,Youth Education Programs and Services,Educational Programs & Services for Postsecondary Students,402838394,59676300,343162094,226000220,271486327,28530983,3141339,303158649,27830505,40507453,259823591,328161549,FALSE
133770472,7771,3,2016,Teaching Matters,Education,Adult Education Programs and Services,Professional Development & Vocational Training,6267719,322543,5945176,5945176,698912,3916592,99895,4715399,316926,684215,4424748,5425889,FALSE
953912415,7931,3,2015,Team RFC,Religion,Religious Activities,Christian - National,668309,16825,651484,651484,971720,3330,16257,991307,81345,221571,681182,984098,FALSE
582531971,16026,3,2016,Techbridge,Education,Adult Education Programs and Services,Professional Development & Vocational Training,1383679,206888,1176791,1176791,1783530,1528863,-167317,3145076,415256,306550,2290611,3012417,FALSE
132626135,4516,4,2015,TechnoServe,International,Development and Relief Services,Economic and Agricultural Development,57355185,49810391,7544794,7544794,86214440,3685,162741,86380866,1713600,9515407,75385060,86614067,FALSE
010422035,15538,3,2016,Tedford Housing,Human Services,Homeless Services,Homelessness - Direct Services,5664097,3779081,1885016,1885016,1072981,343181,5369,1421531,65550,195203,1209579,1470332,FALSE
741816616,11503,2,2015,Teen Challenge of Texas,Health,Treatment and Prevention Services,"Drugs, Alcohol, & Tobacco - Faith Based Programs",5680388,2398084,3282304,3282304,496935,1257271,1313549,3067755,67748,592028,2603273,3263049,FALSE
362867274,10596,3,2016,Teen Living Programs,Human Services,Children's and Family Services,Child Care and Development,4212783,2630421,1582362,1582362,2593313,20265,148317,2761895,268028,174518,2477094,2919640,FALSE
363387034,11734,3,2016,Teen Parent Connection,Human Services,Children's and Family Services,Child Care and Development,1884347,538176,1346171,1346171,1245610,11625,45726,1302961,88450,54262,898464,1041176,FALSE
043452763,14995,4,2016,Tenacity,Education,Youth Education Programs and Services,After-school Educational Programs & Services for Elementary and Secondary Students,2761596,92614,2668982,2668982,3317707,0,474386,3792093,848023,473849,3805699,5127571,FALSE
741189679,7293,4,2015,Texas Lions Camp,Health,Patient and Family Support,Camp Programs,29068199,125043,28943156,20747107,2855368,211941,1134620,4201929,73769,697017,2149970,2920756,FALSE
742602504,5685,4,2015,Texas Parks and Wildlife Foundation,Environment,Environmental Protection and Conservation,Multipurpose Environmental Programs,66347776,557410,65790366,64468128,24508410,128547,1027891,25664848,115041,181433,7707936,8004410,FALSE
742559514,8373,4,2016,Texas Public Radio,"Arts, Culture, Humanities",Public Broadcasting and Media,Television & Radio Stations,3197908,422550,2775358,2493445,4594353,0,139011,4733364,782699,346675,3444869,4574243,FALSE
203973151,13382,3,2015,Thanks USA,Education,Scholarship and Financial Support,Scholarships & Financial Aid,1551266,459090,1092176,1092176,1586283,0,-73613,1512670,44594,119350,1260976,1424920,FALSE
133467948,13546,4,2016,The 52nd Street Project,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",19940177,110082,19830095,19433359,1728189,204105,58612,1990906,260247,212077,1497123,1969447,FALSE
131624229,4792,3,2016,The 92nd Street Y,Human Services,Multipurpose Human Service Organizations,"Y M C A's, Y W C A's & JCC's",104120498,21993983,82126515,14574336,43629982,42810069,514049,86954100,3767102,7192035,58592874,69552011,FALSE
237019679,8861,4,2016,The Action Center,Human Services,Homeless Services,Homelessness - Direct Services,8096803,2253227,5843576,5685745,13232424,18691,74061,13325176,567337,191794,12793525,13552656,FALSE
131635251,5994,4,2015,The Actors Fund,"Arts, Culture, Humanities",Performing Arts,Artist Support & Development,77610709,26434035,51176674,33182484,24394578,12141152,1163273,37699003,2846834,1761162,25840684,30448680,FALSE
840793576,10221,3,2016,The Adoption Exchange,Human Services,Children's and Family Services,Adoption Services and Foster Care,1909331,564899,1344432,1317509,3607026,946253,-164384,4388895,296553,356205,3554140,4206898,FALSE
363292374,5261,3,2016,The Advocates for Human Rights,International,"International Peace, Security, and Affairs",Human Rights,695863,86595,609268,609268,1405362,84091,2403,1491856,90266,69421,1294926,1454613,FALSE
521749047,12537,3,2016,The ALS Association - DC/MD/VA Chapter,Health,"Diseases, Disorders, and Disciplines",ALS Organizations,1834743,294414,1540329,1540329,2390474,0,2580,2393054,362248,212339,2079307,2653894,FALSE
943124732,11739,4,2016,The ALS Association Florida Chapter,Health,"Diseases, Disorders, and Disciplines",ALS Organizations,2379043,583999,1795044,1795044,2857690,0,-45987,2811703,350164,91083,2602902,3044149,FALSE
954163338,11938,4,2016,The ALS Association Golden West Chapter,Health,"Diseases, Disorders, and Disciplines",ALS Organizations,6029170,805527,5223643,5223643,4284672,0,-1500,4283172,554756,303520,3613667,4471943,FALSE
133616680,11405,4,2016,The ALS Association Greater New York Chapter,Health,"Diseases, Disorders, and Disciplines",ALS Organizations,8298971,22439,8276532,8276532,6793895,0,-1109228,5684667,525800,316649,3847675,4690124,FALSE
581943490,9610,4,2016,The ALS Association of Georgia,Health,"Diseases, Disorders, and Disciplines",ALS Organizations,1150210,67724,1082486,1082486,1149069,0,-46894,1102175,112620,108847,795137,1016604,FALSE
